case,E,num_edges,num_variables,timerun
Gurobi_Vconst15_face,78237.01695494007,7,138,1.0336201190948486
Gurobi_Vconst15_faceEdge,68815.59040781291,5,204,91.29448223114014
Gurobi_Vconst15_faceEdgePoint,68815.59040781291,5,221,2040.4658677577968
Gurobi_Vconst10_face,72377.06835029417,7,204,922.581775188446
Gurobi_Vconst10_faceEdge,64255.89593857615,5,323,962.1352534294128
Gurobi_Vconst10_faceEdgePoint,72752.39583779316,6,351,948.8363449573516
Gurobi_V2lv_face,99866.74936389006,11,408,1031.8917269706726
Gurobi_V2lv_faceEdge,64255.89593857615,5,646,2130.00146150589
Gurobi_V2lv_faceEdgePoint,65544.56476856035,7,702,908.6007654666901
